segment name,compressed rom offset start,compressed rom offset end,uncompressed hash,compression level
main_segment,0x011BC0,0x050060,62a477824f9a6bafcc3b11e3b234b280,9
segment_game_etc,0x195D00,0x1A1420,8b930f598fded3007d649c04b756eb29,6
segment_menu_bg,0x1A1420,0x1A27A0,46f822e0e2d9d965e167cdedd3d87f46,6
segment_menu_bg2,0x1A27A0,0x1A3CF0,869c8ef43095a6c34a02d6654df09176,6
segment_coffee01,0x1A3CF0,0x1B1540,1a3dd532f994af2f978d6a58e27b1f06,6
segment_title_all,0x1B1540,0x2124F0,4d7681a39b52c769916c721e69fa16d2,6
segment_title_bmp,0x2124F0,0x213200,3ad12d7df7078fb1d8482b775d4f2ad1,6
segment_waku,0x213200,0x21B800,34c4cf3eb5b8335400dd89d3a790e37a,6
segment_waku2,0x21B800,0x21FDB0,bddc47deb864ba1420e0aac619ca8d7d,6
segment_story_bg01,0x21FDB0,0x226BA0,90c0d3dbfc50da136c5ed464bcfa5743,6
segment_story_bg02,0x226BA0,0x22E100,80f85c3c8df52905668f713eae1f0d12,6
segment_story_bg03,0x22E100,0x2353D0,afae2d501254e891ba6f7de4abd3c83c,6
segment_story_bg04,0x2353D0,0x23BEC0,18b0e8aea0ab737b82ce8f91005e9e33,6
segment_story_bg05,0x23BEC0,0x240840,b2254ad5061af5ed6856f9ad776a0063,6
segment_story_bg07,0x240840,0x2461C0,8cf0c862b9055d8903982a341d45e43c,6
segment_story_bg08,0x2461C0,0x24ED00,3c81cb4b7cccfd779263fcd77376052c,6
segment_story_bg09,0x24ED00,0x257D50,5f872c4afbff55a8255be824ae92e97e,6
segment_story_bg10,0x257D50,0x25ED70,24f0f3f7b814819bd8c2e8a984bb566b,6
segment_story_bg11,0x25ED70,0x266B70,163c81b1f3edef8667e510c18656634b,6
segment_menu_char,0x266B70,0x2704D0,7ab170874f1fa145e6f2cd8c968acdeb,9
segment_menu_common,0x2704D0,0x27A9F0,79d6ed4cd7d9bf164b75a6e6d7bbbfa3,9
segment_menu_level,0x27A9F0,0x286DB0,50d1420e3c94c137deb52e7b4b2f6584,9
segment_menu_main,0x286DB0,0x2997A0,a0cf84b9e400cc18e629e4f10e2aa5de,9
segment_menu_name,0x2997A0,0x29E500,3cbcded9093dbca24284000f282f8a40,9
segment_menu_p2,0x29E500,0x2A2B10,6693985a52e5711fdedee6bd3396f2e8,9
segment_menu_p4,0x2A2B10,0x2A9A70,e6433a58373be68a02bf90248fd8c49f,9
segment_menu_rank,0x2A9A70,0x2B0050,38ad5784e7ea0b59c2e826872a201a7f,9
segment_menu_setup,0x2B0050,0x2BDD20,69f5474b5b3b377e18138174130bc878,9
segment_menu_story,0x2BDD20,0x2C9CB0,a71609fe6e5361cc4859db71fb9a55cd,9
segment_menu_cont,0x2C9CB0,0x2CC800,7adca29198f29072d32187f86aa1bb38,9
segment_menu_kasa,0x2CC800,0x2CF100,98a9284a6d97345fde14466d37d0a955,9
segment_game_al,0x2CF100,0x2D4530,3dd60dcc1901c184e4a0c98913063f27,9
segment_game_p1,0x2D4530,0x2D7EE0,1b0bb490673b781c75bf39144e8e0f06,9
segment_game_p2,0x2D7EE0,0x2DCB40,79f23f099957aaa10202578d0f5987d8,9
segment_game_p4,0x2DCB40,0x2E6BB0,232db3de2104ae6a69e9856633eba0d4,9
segment_game_ls,0x2E6BB0,0x2F9530,74a26a410e526064d4c74a9954391af2,9
segment_game_item,0x2F9530,0x2F9D50,cb30ad0c2ae61a47c33ae92d84584cad,9
segment_anime_a,0x2F9D50,0x2FD710,aedfbd73632f87604c69c64ce7d68836,9
segment_anime_b,0x2FD710,0x2FF320,484395f70d2b8cec6106527650722bb7,9
segment_anime_c,0x2FF320,0x301FD0,6167518207f56be8da8b0bacb1ac1b0a,9
segment_anime_d,0x301FD0,0x304110,0e4a1fe21841b7d5ffe53803fea7abdb,9
segment_anime_e,0x304110,0x305E50,6c28e8adf7c569f94858b82ea5db4d1d,9
segment_anime_f,0x305E50,0x308580,02472fb7d7758e021dc5875d061021b3,9
segment_anime_g,0x308580,0x30A8D0,85615835ea89a23030b7f10fa86149b8,9
segment_anime_h,0x30A8D0,0x30C530,bad4180858c5b4a3d942fc6948aca7e6,9
segment_anime_i,0x30C530,0x30EA50,1702ac5e8c07c1fda7a40e5ea0e76942,9
segment_anime_j,0x30EA50,0x310900,c41f1d1ae599abc86abec2191aff6564,9
segment_anime_k,0x310900,0x312470,252fa7f2d52b82bacd868cb02a15a56b,9
segment_anime_l,0x312470,0x314980,8f028b57a7797106b2b79f209bfc1bba,9
segment_anime_m,0x314980,0x316C60,4f3368b67354938facbc5fcaaf9ec9f0,9
segment_anime_n,0x316C60,0x318C50,21030460e48f28fe20d0041b75076c22,9
segment_anime_o,0x318C50,0x31B200,36ff01ecf7e3fe76056fc8fe28a7faf9,9
segment_anime_mario,0x31B200,0x327040,8f659b67101a7b5af14c821db77c8cae,9
segment_anime_virus_b,0x327040,0x328390,8ec4a59d47048757ae67fad65e05a668,9
segment_anime_virus_r,0x328390,0x329230,bea671f79a28a45ecd5c8ac49194666a,9
segment_anime_virus_y,0x329230,0x32A0A0,f1aeb794f59e5a0278acc470415de706,9
segment_anime_smog,0x32A0A0,0x32A6A0,6b28be0ff6a6d20944991cef3dc1cd27,9
segment_tutorial_data,0x32A6A0,0x32D350,387b447b16368266f45e35150f254685,9
