segment name,compressed rom offset start,compressed rom offset end,uncompressed hash,compression level,compression tool
main_segment,0x011A70,0x04F980,92ff8d1467cc45fadfd318080bb5ed68,9,gzip
segment_game_etc,0x195620,0x1A0D40,8b930f598fded3007d649c04b756eb29,6,gzip
segment_menu_bg,0x1A0D40,0x1A20C0,46f822e0e2d9d965e167cdedd3d87f46,6,gzip
segment_menu_bg2,0x1A20C0,0x1A3610,869c8ef43095a6c34a02d6654df09176,6,gzip
segment_coffee01,0x1A3610,0x1B0E60,1a3dd532f994af2f978d6a58e27b1f06,6,gzip
segment_title_all,0x1B0E60,0x211E10,4d7681a39b52c769916c721e69fa16d2,6,gzip
segment_title_bmp,0x211E10,0x212B20,3ad12d7df7078fb1d8482b775d4f2ad1,6,gzip
segment_waku,0x212B20,0x21B120,34c4cf3eb5b8335400dd89d3a790e37a,6,gzip
segment_waku2,0x21B120,0x21F6D0,bddc47deb864ba1420e0aac619ca8d7d,6,gzip
segment_story_bg01,0x21F6D0,0x2264C0,90c0d3dbfc50da136c5ed464bcfa5743,6,gzip
segment_story_bg02,0x2264C0,0x22DA20,80f85c3c8df52905668f713eae1f0d12,6,gzip
segment_story_bg03,0x22DA20,0x234CF0,afae2d501254e891ba6f7de4abd3c83c,6,gzip
segment_story_bg04,0x234CF0,0x23B7E0,18b0e8aea0ab737b82ce8f91005e9e33,6,gzip
segment_story_bg05,0x23B7E0,0x240160,b2254ad5061af5ed6856f9ad776a0063,6,gzip
segment_story_bg07,0x240160,0x245AE0,8cf0c862b9055d8903982a341d45e43c,6,gzip
segment_story_bg08,0x245AE0,0x24E620,3c81cb4b7cccfd779263fcd77376052c,6,gzip
segment_story_bg09,0x24E620,0x257670,5f872c4afbff55a8255be824ae92e97e,6,gzip
segment_story_bg10,0x257670,0x25E690,24f0f3f7b814819bd8c2e8a984bb566b,6,gzip
segment_story_bg11,0x25E690,0x266490,163c81b1f3edef8667e510c18656634b,6,gzip
segment_menu_char,0x266490,0x26FDF0,7ab170874f1fa145e6f2cd8c968acdeb,9,gzip
segment_menu_common,0x26FDF0,0x27A310,79d6ed4cd7d9bf164b75a6e6d7bbbfa3,9,gzip
segment_menu_level,0x27A310,0x2866D0,50d1420e3c94c137deb52e7b4b2f6584,9,gzip
segment_menu_main,0x2866D0,0x2990C0,a0cf84b9e400cc18e629e4f10e2aa5de,9,gzip
segment_menu_name,0x2990C0,0x29DE20,3cbcded9093dbca24284000f282f8a40,9,gzip
segment_menu_p2,0x29DE20,0x2A2430,6693985a52e5711fdedee6bd3396f2e8,9,gzip
segment_menu_p4,0x2A2430,0x2A93C0,5c75bd8014f0a4eb4f4ee876ee025679,9,gzip
segment_menu_rank,0x2A93C0,0x2AF9A0,38ad5784e7ea0b59c2e826872a201a7f,9,gzip
segment_menu_setup,0x2AF9A0,0x2BD670,69f5474b5b3b377e18138174130bc878,9,gzip
segment_menu_story,0x2BD670,0x2C9600,a71609fe6e5361cc4859db71fb9a55cd,9,gzip
segment_menu_cont,0x2C9600,0x2CC150,7adca29198f29072d32187f86aa1bb38,9,gzip
segment_menu_kasa,0x2CC150,0x2CEA50,98a9284a6d97345fde14466d37d0a955,9,gzip
segment_game_al,0x2CEA50,0x2D3E80,3dd60dcc1901c184e4a0c98913063f27,9,gzip
segment_game_p1,0x2D3E80,0x2D7830,1b0bb490673b781c75bf39144e8e0f06,9,gzip
